BOX,2002_inhabitants,2003_inhabitants,2004_inhabitants,2005_inhabitants,2006_inhabitants,2007_inhabitants,2008_inhabitants,2009_inhabitants,2010_inhabitants,2011_inhabitants,2012_inhabitants,2013_inhabitants,Num_Chicks_Banded,%Successful,with_chicks,w/o_chicks,Total,Years Up,
116,,EMPTY,EMPTY,FAILED,EMPTY,FAILED,Empty,EMPTY,Failed,empty,Failed,Failed,0,0,0,5,5,11,
117,,FAIL,KESTREL,FAILED,FAILED,KESTREL,KESTREL,EMPTY,KESTREL,Failed,KESTREL,KESTREL,22,50,5,5,10,11,
118,,GRACKLE,KESTREL,KESTREL,EMPTY,KESTREL,KESTREL,KESTREL,Empty,grackle,Starling,KESTREL,22,100,6,0,6,11,
119,,EMPTY,GRACKLE,STARLING,EMPTY,GRACKLE,KESTREL,FAILED,Failed,KESTREL,Empty,Failed,3,40,2,3,5,11,
120,,KESTREL,GRACKLE,GRACKLE,FAILED,GRACKLE,FAILED,EMPTY,KESTREL,empty,Empty,Failed,4,40,2,3,5,11,
121,,GRACKLE,GRACKLE,EMPTY,EMPTY,BEES,KESTREL,KESTREL,KESTREL,KESTREL,Empty,KESTREL,19,100,5,0,5,11,
122,,GRACKLE,EMPTY,BEES,ANTS,BEES,STARLING,KESTREL,KESTREL,KESTREL,KESTREL,KESTREL,13,100,5,0,5,11,
123,,GRACKLE,MOVE,DOWN,DOWN,MOVED,KESTREL,KESTREL,KESTREL,KESTREL,KESTREL,Failed,15,83.3,5,1,6,7,
124,,KESTREL,FAILED,GRACKLE,EMPTY,EMPTY,Empty,EMPTY,Failed,KESTREL,KESTREL,KESTREL,16,66.7,4,2,6,11,
125,,FAIL,GRACKLE,FAILED,FAILED,EMPTY,Empty,EMPTY,Failed,empty,Swallows,Failed,0,0,0,5,5,11,
126,,FAIL,FAILED,KESTREL,EMPTY,KESTREL,KESTREL,KESTREL,Failed,Roost,Empty,KESTREL,13,62.5,5,3,8,11,
127,,,GRACKLE,KESTREL,EMPTY,MOVED,KESTREL,KESTREL,KESTREL,KESTREL,KESTREL,Empty,21,100,5,0,5,10,
128,,,STARLING,FAILED,EMPTY,EMPTY,FAILED,GRACKLE,KESTREL,KESTREL,Grackle,KESTREL,10,60,3,2,5,11,
129,,,KESTREL,KESTREL,ANTS,EMPTY,EMPTY,EMPTY,Grackles,empty,Empty,Empty,6,100,2,0,2,11,
130,,,GRACKLE,GRACKLE,FAILED,EMPTY,GRACKLE,DOWN,Down,empty,Empty,Failed,0,0,0,2,2,9,
131,,,,,,,,EMPTY,Empty,empty,Empty,Empty,0,0,0,0,0,5,
132,,,,,,,,GRACKLE,KESTREL,KESTREL,KESTREL,Empty,15,100,3,0,3,5,
133,,,,,,,,FAILED,KESTREL,empty,Empty,KESTREL,10,66.7,2,1,3,5,
134,,,,,,,,FAILED,Grackles,Failed,Failed,Empty,0,0,0,3,3,5,
